Date,Bloomberg Barclays Euro Government Inflation-Linked Bond All Maturities
28-09-2020,225.6085
25-09-2020,225.7926
24-09-2020,225.89
23-09-2020,226.3413
22-09-2020,226.6063
21-09-2020,226.3658
18-09-2020,226.4475
17-09-2020,226.8838
16-09-2020,226.6577
15-09-2020,226.1409
14-09-2020,225.7615
11-09-2020,225.3648
10-09-2020,224.8224
09-09-2020,224.8072
08-09-2020,224.6604
07-09-2020,224.7971
04-09-2020,225.4258
03-09-2020,226.113
02-09-2020,226.0333
01-09-2020,225.2081
31-08-2020,225.2722
28-08-2020,225.7659
27-08-2020,225.8997
26-08-2020,226.1201
25-08-2020,225.8147
24-08-2020,226.9054
21-08-2020,226.4866
20-08-2020,226.886
19-08-2020,226.7515
18-08-2020,226.4689
17-08-2020,226.7363
14-08-2020,226.4149
13-08-2020,226.4876
12-08-2020,227.3921
11-08-2020,227.9964
10-08-2020,228.3598
07-08-2020,227.6919
06-08-2020,227.2987
05-08-2020,226.6719
04-08-2020,227.0025
03-08-2020,226.0938
31-07-2020,226.1204
30-07-2020,226.1724
29-07-2020,225.7888
28-07-2020,225.5296
27-07-2020,225.5481
24-07-2020,224.915
23-07-2020,225.3648
22-07-2020,225.1202
21-07-2020,224.654
20-07-2020,224.1364
17-07-2020,222.999
16-07-2020,222.9969
15-07-2020,222.724
14-07-2020,222.44
13-07-2020,221.3986
10-07-2020,221.7191
09-07-2020,222.2333
08-07-2020,222.4536
07-07-2020,221.9944
06-07-2020,222.0795
03-07-2020,221.7909
02-07-2020,222.0439
01-07-2020,221.1141
30-06-2020,221.9503
29-06-2020,221.7268
26-06-2020,221.5539
25-06-2020,221.3677
24-06-2020,221.6419
23-06-2020,220.9771
22-06-2020,220.5705
19-06-2020,219.9069
18-06-2020,219.5719
17-06-2020,218.8852
16-06-2020,218.8615
15-06-2020,218.3258
12-06-2020,218.3499
11-06-2020,218.0788
10-06-2020,217.516
09-06-2020,218.0516
08-06-2020,218.4532
05-06-2020,217.8551
04-06-2020,217.8616
03-06-2020,216.6332
02-06-2020,217.2768
01-06-2020,217.0227
29-05-2020,217.2269
28-05-2020,216.5934
27-05-2020,215.6863
26-05-2020,215.0872
25-05-2020,214.9292
22-05-2020,214.8316
21-05-2020,214.8377
20-05-2020,214.4422
19-05-2020,214.0088
18-05-2020,212.8371
15-05-2020,212.4424
14-05-2020,212.7217
13-05-2020,213.2797
12-05-2020,212.8376
11-05-2020,212.8276
08-05-2020,213.5619
07-05-2020,213.2508
06-05-2020,212.7055
05-05-2020,214.1562
04-05-2020,214.6848
01-05-2020,215.7544
30-04-2020,215.7544
29-04-2020,213.9733
28-04-2020,213.4603
27-04-2020,213.1065
24-04-2020,212.6184
23-04-2020,211.7803
22-04-2020,210.0764
21-04-2020,210.5656
20-04-2020,212.08
17-04-2020,213.5301
16-04-2020,213.2159
15-04-2020,212.9799
14-04-2020,213.3857
13-04-2020,213.9289
10-04-2020,213.9289
09-04-2020,213.9289
08-04-2020,212.5275
07-04-2020,212.7188
06-04-2020,213.6527
03-04-2020,213.7045
02-04-2020,213.2374
01-04-2020,212.9285
31-03-2020,213.6134
30-03-2020,215.5684
27-03-2020,215.2433
26-03-2020,213.5114
25-03-2020,208.8774
24-03-2020,208.4925
23-03-2020,209.5844
20-03-2020,210.6376
19-03-2020,208.6414
18-03-2020,206.3119
17-03-2020,208.8364
16-03-2020,210.5943
13-03-2020,216.3231
12-03-2020,217.1573
11-03-2020,223.0801
10-03-2020,222.4902
09-03-2020,222.9995
06-03-2020,226.5501
05-03-2020,227.8887
04-03-2020,229.2588
03-03-2020,229.2585
02-03-2020,227.4608
28-02-2020,227.8564
27-02-2020,228.3002
26-02-2020,229.1763
25-02-2020,229.5179
24-02-2020,229.5434
21-02-2020,230.0688
20-02-2020,230.0803
19-02-2020,229.6289
