Date,SPGSCI
08-02-2021,457.7299
05-02-2021,450.6114
04-02-2021,447.2451
03-02-2021,445.6187
02-02-2021,441.0014
01-02-2021,437.2843
29-01-2021,430.9947
28-01-2021,430.5459
27-01-2021,433.3097
26-01-2021,433.836
25-01-2021,431.4919
22-01-2021,427.4073
21-01-2021,433.3612
20-01-2021,433.6567
19-01-2021,432.328
15-01-2021,431.7415
14-01-2021,436.9405
13-01-2021,433.3304
12-01-2021,433.548
11-01-2021,426.016
08-01-2021,427.5555
07-01-2021,423.3529
06-01-2021,422.704
05-01-2021,420.6333
04-01-2021,408.0531
31-12-2020,409.458
30-12-2020,407.8278
29-12-2020,404.6822
28-12-2020,401.8305
24-12-2020,404.6696
23-12-2020,404.5395
22-12-2020,398.6854
21-12-2020,402.1773
18-12-2020,408.0172
17-12-2020,404.5111
16-12-2020,400.1288
15-12-2020,398.3588
14-12-2020,395.263
11-12-2020,393.7225
10-12-2020,394.3668
09-12-2020,387.1238
08-12-2020,385.5186
07-12-2020,386.3652
04-12-2020,388.5492
03-12-2020,386.6812
02-12-2020,386.2721
01-12-2020,383.5606
30-11-2020,385.594
27-11-2020,388.0614
25-11-2020,387.5725
24-11-2020,385.7037
23-11-2020,377.4882
20-11-2020,373.8664
19-11-2020,370.1854
18-11-2020,372.6753
17-11-2020,369.9492
16-11-2020,369.0304
13-11-2020,364.499
12-11-2020,368.3544
11-11-2020,369.6806
10-11-2020,368.9438
09-11-2020,361.2885
06-11-2020,349.6171
05-11-2020,354.9049
04-11-2020,354.7948
03-11-2020,348.4735
02-11-2020,344.9963
30-10-2020,340.7799
29-10-2020,341.1647
28-10-2020,346.559
27-10-2020,357.2587
26-10-2020,353.1372
23-10-2020,358.7681
22-10-2020,361.4837
21-10-2020,360.1056
20-10-2020,364.7858
19-10-2020,362.1368
16-10-2020,362.6056
15-10-2020,363.218
14-10-2020,362.204
13-10-2020,358.4093
12-10-2020,355.7919
09-10-2020,360.5772
08-10-2020,359.0773
07-10-2020,353.4783
06-10-2020,353.7386
05-10-2020,347.377
02-10-2020,337.4763
01-10-2020,343.4651
30-09-2020,350.178
29-09-2020,344.8811
28-09-2020,350.5646
25-09-2020,348.2298
24-09-2020,348.4655
23-09-2020,347.7304
22-09-2020,347.9606
21-09-2020,347.3626
18-09-2020,358.0317
17-09-2020,356.2315
16-09-2020,351.9909
15-09-2020,345.1421
14-09-2020,342.4925
11-09-2020,341.0515
10-09-2020,339.7629
09-09-2020,341.0553
08-09-2020,335.5751
04-09-2020,347.1072
03-09-2020,350.8571
02-09-2020,353.721
01-09-2020,359.7562
31-08-2020,358.2109
28-08-2020,359.9485
27-08-2020,358.8295
26-08-2020,359.8743
25-08-2020,360.0396
24-08-2020,356.1782
21-08-2020,353.3645
20-08-2020,356.3116
19-08-2020,358.5336
18-08-2020,358.2269
17-08-2020,357.2123
14-08-2020,352.1706
13-08-2020,352.0493
12-08-2020,351.822
11-08-2020,347.085
10-08-2020,348.7714
07-08-2020,345.1536
06-08-2020,349.2784
05-08-2020,350.301
04-08-2020,346.6657
03-08-2020,344.7078
31-07-2020,339.821
30-07-2020,337.7635
29-07-2020,343.3767
28-07-2020,341.3616
27-07-2020,342.5579
24-07-2020,342.0064
23-07-2020,341.6595
22-07-2020,343.6721
21-07-2020,343.2018
20-07-2020,337.2982
17-07-2020,337.4588
16-07-2020,338.3038
15-07-2020,339.9535
14-07-2020,335.7505
13-07-2020,336.2373
10-07-2020,337.9027
09-07-2020,333.8752
08-07-2020,337.2498
07-07-2020,335.1787
06-07-2020,334.2789
02-07-2020,332.8598
01-07-2020,328.7351
30-06-2020,325.483
29-06-2020,324.5144
26-06-2020,318.092
25-06-2020,320.219
24-06-2020,319.0248
23-06-2020,329.7729
22-06-2020,330.6343
19-06-2020,327.6412
18-06-2020,324.3986
17-06-2020,321.6329
16-06-2020,322.3115
15-06-2020,317.1989
12-06-2020,314.278
11-06-2020,314.7936
10-06-2020,327.4321
09-06-2020,324.4112
08-06-2020,321.6347
05-06-2020,325.544
04-06-2020,316.0031
03-06-2020,313.9073
02-06-2020,312.6686
01-06-2020,307.3452
29-05-2020,307.0756
28-05-2020,299.5133
27-05-2020,297.2962
26-05-2020,303.4941
22-05-2020,297.9223
21-05-2020,301.5198
20-05-2020,301.5236
19-05-2020,296.4869
18-05-2020,296.3646
15-05-2020,285.1523
14-05-2020,279.9422
13-05-2020,272.8958
12-05-2020,276.843
11-05-2020,274.1045
08-05-2020,278.1284
07-05-2020,271.3416
06-05-2020,268.7582
05-05-2020,274.1748
04-05-2020,259.09
01-05-2020,256.4889
30-04-2020,257.0446
29-04-2020,246.0293
28-04-2020,239.9707
27-04-2020,230.4549
24-04-2020,241.446
23-04-2020,243.3508
22-04-2020,236.8019
21-04-2020,228.2439
20-04-2020,258.6932
17-04-2020,270.574
16-04-2020,270.6584
15-04-2020,270.9509
14-04-2020,278.5442
13-04-2020,280.1222
09-04-2020,276.4104
08-04-2020,277.0848
07-04-2020,270.5633
06-04-2020,271.7038
03-04-2020,275.4447
02-04-2020,263.9483
01-04-2020,247.1217
31-03-2020,255.5416
30-03-2020,254.6412
27-03-2020,261.5391
26-03-2020,266.1685
25-03-2020,273.3808
24-03-2020,270.5803
23-03-2020,263.6275
20-03-2020,261.5861
19-03-2020,269.5327
18-03-2020,251.0174
17-03-2020,273.8651
16-03-2020,278.997
13-03-2020,298.4005
12-03-2020,300.4451
11-03-2020,313.2937
10-03-2020,318.9132
09-03-2020,305.2853
06-03-2020,345.1365
05-03-2020,365.2748
04-03-2020,370.1096
03-03-2020,371.0572
02-03-2020,368.8241
28-02-2020,358.4439
27-02-2020,367.8992
26-02-2020,376.202
25-02-2020,382.8182
24-02-2020,389.2645
21-02-2020,400.5355
20-02-2020,403.2244
19-02-2020,403.6388
18-02-2020,398.3362
14-02-2020,396.2265
13-02-2020,394.011
12-02-2020,392.042
11-02-2020,384.5627
10-02-2020,382.1816
07-02-2020,386.197
06-02-2020,387.1924
05-02-2020,386.277
04-02-2020,380.329
03-02-2020,381.3492
31-01-2020,388.8018
30-01-2020,392.0189
29-01-2020,398.7491
28-01-2020,400.3906
27-01-2020,398.3374
24-01-2020,406.2654
23-01-2020,413.6461
22-01-2020,418.5299
21-01-2020,425.1428
17-01-2020,426.9116
16-01-2020,425.8423
15-01-2020,425.4507
14-01-2020,427.7165
13-01-2020,426.2712
10-01-2020,430.1198
09-01-2020,430.6038
08-01-2020,431.0395
07-01-2020,442.3508
06-01-2020,444.6284
03-01-2020,443.3469
02-01-2020,436.8196
31-12-2019,436.2189
30-12-2019,439.5781
27-12-2019,440.2722
26-12-2019,439.6989
24-12-2019,435.9875
23-12-2019,433.0371
20-12-2019,433.2951
19-12-2019,434.9615
18-12-2019,433.1094
17-12-2019,433.8017
16-12-2019,431.0924
13-12-2019,428.0519
12-12-2019,423.6431
11-12-2019,420.2794
10-12-2019,423.2039
09-12-2019,421.6442
06-12-2019,422.7379
05-12-2019,419.6583
04-12-2019,418.7466
03-12-2019,410.7499
02-12-2019,410.7921
29-11-2019,409.1913
27-11-2019,420.3397
26-11-2019,422.0621
25-11-2019,420.0215
22-11-2019,418.9339
21-11-2019,420.824
20-11-2019,415.3778
19-11-2019,409.6726
18-11-2019,415.6492
15-11-2019,420.4984
14-11-2019,417.1541
13-11-2019,418.0281
12-11-2019,417.3163
11-11-2019,416.5204
08-11-2019,419.1143
07-11-2019,418.6989
06-11-2019,416.9311
05-11-2019,421.9285
04-11-2019,419.196
01-11-2019,416.8819
31-10-2019,407.5104
30-10-2019,411.7284
29-10-2019,413.9738
28-10-2019,414.0318
25-10-2019,416.2253
24-10-2019,414.4889
23-10-2019,412.7466
22-10-2019,406.8977
21-10-2019,404.0124
18-10-2019,406.698
17-10-2019,407.0886
16-10-2019,405.3217
15-10-2019,403.3767
14-10-2019,405.2537
11-10-2019,409.4207
10-10-2019,402.1571
09-10-2019,400.1836
08-10-2019,399.49
07-10-2019,399.2115
04-10-2019,399.4687
03-10-2019,397.356
02-10-2019,397.1837
01-10-2019,402.3147
30-09-2019,403.6126
27-09-2019,409.6001
26-09-2019,411.3947
25-09-2019,411.7195
24-09-2019,414.8046
23-09-2019,420.379
20-09-2019,417.4134
19-09-2019,418.5166
18-09-2019,417.0147
17-09-2019,420.6547
16-09-2019,436.0786
13-09-2019,403.8298
12-09-2019,403.4359
11-09-2019,404.1986
10-09-2019,410.3896
09-09-2019,409.681
06-09-2019,404.4654
05-09-2019,404.2694
04-09-2019,403.717
03-09-2019,392.4433
30-08-2019,397.0581
29-08-2019,403.6094
28-08-2019,400.3714
27-08-2019,396.0329
26-08-2019,392.5144
23-08-2019,393.3566
22-08-2019,397.9761
21-08-2019,400.0243
20-08-2019,399.8591
19-08-2019,399.3377
16-08-2019,395.8841
15-08-2019,394.516
14-08-2019,398.0671
13-08-2019,405.5467
12-08-2019,397.1536
09-08-2019,399.7301
08-08-2019,394.2452
07-08-2019,387.4656
06-08-2019,397.5225
05-08-2019,401.8987
02-08-2019,407.6653
01-08-2019,403.1679
31-07-2019,422.4391
30-07-2019,421.6489
29-07-2019,418.5183
26-07-2019,416.6889
25-07-2019,417.4553
24-07-2019,417.7164
23-07-2019,419.7421
22-07-2019,416.8621
19-07-2019,415.9167
18-07-2019,412.5975
17-07-2019,419.886
16-07-2019,423.0175
15-07-2019,430.927
12-07-2019,434.6324
11-07-2019,433.601
10-07-2019,434.1217
09-07-2019,422.3473
08-07-2019,421.5419
05-07-2019,422.341
03-07-2019,421.0002
02-07-2019,414.5045
01-07-2019,425.4439
28-06-2019,425.3581
27-06-2019,430.5479
26-06-2019,430.8677
25-06-2019,424.6323
24-06-2019,422.8062
21-06-2019,421.1565
20-06-2019,420.1644
19-06-2019,408.493
18-06-2019,410.4092
17-06-2019,404.5644
14-06-2019,406.9602
13-06-2019,405.012
12-06-2019,399.7832
11-06-2019,407.3474
10-06-2019,405.6652
07-06-2019,407.1681
06-06-2019,402.9258
05-06-2019,398.5649
04-06-2019,406.9559
03-06-2019,405.2581
31-05-2019,407.7638
30-05-2019,421.8808
29-05-2019,429.5072
28-05-2019,432.0017
24-05-2019,427.1274
23-05-2019,422.6927
22-05-2019,436.0749
21-05-2019,443.124
20-05-2019,443.4897
17-05-2019,443.0012
16-05-2019,445.1459
15-05-2019,439.6287
14-05-2019,436.8919
13-05-2019,431.4682
10-05-2019,434.3375
09-05-2019,433.9954
08-05-2019,436.777
07-05-2019,435.1433
06-05-2019,439.6553
03-05-2019,440.8316
02-05-2019,440.2262
01-05-2019,446.3862
30-04-2019,446.4518
29-04-2019,444.8176
26-04-2019,445.3386
25-04-2019,452.8279
24-04-2019,455.0851
23-04-2019,457.1842
22-04-2019,456.2477
18-04-2019,450.8482
17-04-2019,449.8631
16-04-2019,450.9716
15-04-2019,450.0704
12-04-2019,452.4683
